9,1.2056e+006,1
6,6.7797e+005,1
2,2.2098e+005,1
2,2.2375e+005,1
3,4.0734e+005,1
5,6.1701e+005,1
8,1.0085e+006,1
11,2.093e+006,1
1,89688,1
12,3.6739e+006,1
2,2.3313e+005,0
1,87229,0
1,89291,0
4,4.5366e+005,0
9,1.4888e+006,0
6,7.6416e+005,0
1,89570,0
2,2.3469e+005,0
2,2.4527e+005,0
2,2.545e+005,0
6,8.5061e+005,0
2,2.6331e+005,0
1,90314,0
1,91636,0
1,92569,0
1,92175,0
4,4.9394e+005,0
3,4.3212e+005,0
1,94084,0
1,95638,0
4,5.1921e+005,0
2,2.7367e+005,0
2,2.7798e+005,0
1,94838,0
1,97496,0
1,96635,0
1,97012,0
1,99456,0
2,2.932e+005,0
1,1.0067e+005,0
1,99140,0
1,1.0026e+005,0
2,2.9977e+005,0
1,1.0371e+005,0
4,5.7456e+005,0
1,1.0373e+005,0
1,1.0531e+005,0
2,3.1078e+005,0
1,1.0544e+005,0
1,1.0768e+005,0
1,1.0557e+005,0
1,1.1078e+005,0
2,3.2634e+005,0
2,3.3682e+005,0
1,1.1064e+005,0
1,1.1406e+005,0
1,1.1326e+005,0
2,3.5301e+005,0
1,1.1231e+005,0
2,3.7028e+005,0
1,1.1816e+005,0
1,1.1632e+005,0
1,1.1814e+005,0
1,1.1899e+005,0
1,1.2058e+005,0
1,1.2121e+005,0
1,1.2229e+005,0
1,1.2556e+005,0
1,1.2746e+005,0
1,1.2827e+005,0
1,1.2972e+005,0
1,1.327e+005,0
1,1.318e+005,0
1,1.3691e+005,0
1,1.3995e+005,0
1,1.3955e+005,0
1,1.4269e+005,0
1,1.4265e+005,0
1,1.4636e+005,0
1,1.4898e+005,0
1,1.5133e+005,0
1,1.511e+005,0
2,3.9102e+005,0
1,1.5646e+005,0
1,1.5931e+005,0
1,1.6284e+005,0
1,1.6234e+005,0
1,1.6269e+005,0
1,1.7315e+005,0
1,1.7453e+005,0
1,1.7586e+005,0
1,1.7905e+005,0
1,1.8259e+005,0
1,1.8903e+005,0
1,1.8903e+005,0
1,1.942e+005,0
1,2.0275e+005,0
1,2.0236e+005,0
1,2.0813e+005,0
1,2.1577e+005,0
