1,5
2,3
4,5
4,3
1,6
6,7
1,8
7,9
8,10
10,11
10,12
3,13
10,14
1,15
15,16
4,17
8,18
15,19
7,20
7,21
10,22
14,23
16,24
21,25
16,26
14,27
1,28
16,29
15,30
6,31
1,32
16,33
33,34
28,35
19,36
8,37
8,38
8,39
2,40
1,41
1,42
2,43
39,44
6,45
27,46
28,47
10,48
15,49
10,50
31,51
15,52
27,53
15,54
15,55
15,56
20,57
54,58
53,59
45,60
31,61
14,62
7,63
32,64
6,65
21,66
5,67
8,68
10,69
10,70
8,71
60,72
22,73
21,74
10,75
1,76
45,77
8,78
8,79
43,80
16,81
8,82
2,83
2,84
58,85
10,86
21,87
31,88
18,89
2,90
21,91
48,92
45,93
7,94
11,95
83,96
10,97
7,98
7,99
27,100
