1,5
2,3
4,5
4,3
4,6
6,7
6,8
6,9
8,10
4,11
6,12
8,13
2,14
7,15
4,16
4,17
8,18
8,19
17,20
17,21
18,22
21,23
2,24
15,25
17,26
19,27
26,28
14,29
8,30
4,31
15,32
4,33
6,34
4,35
21,36
5,37
17,38
30,39
30,40
17,41
6,42
4,43
6,44
6,45
29,46
45,47
6,48
5,49
41,50
43,51
10,52
2,53
39,54
36,55
23,56
26,57
55,58
52,59
4,60
39,61
11,62
1,63
6,64
17,65
7,66
26,67
23,68
12,69
45,70
6,71
2,72
21,73
15,74
39,75
17,76
8,77
45,78
17,79
75,80
15,81
38,82
11,83
27,84
71,85
21,86
62,87
78,88
11,89
6,90
85,91
3,92
88,93
61,94
22,95
88,96
11,97
23,98
4,99
39,100
